city,freebase_id,iata_code,country
Adama,/m/052b13,,Ethiopia
Adamov,/m/05n5x7,,Czech Republic
Adams,/m/0zfwz,,United States
Adams,/m/01mj7w,,United States
Adams,/m/0_wjw,,United States
Adams,/m/0w7ty,,United States
Adams,/m/0yrxt,,United States
Adamsville,/m/01z23t_,,United States
Adana,/m/0199rp,,Turkey
Adapazarı,/m/05q_pk,,Turkey
Adasa,/m/097xzy,,Israel
Addis Ababa,/m/0dttf,,Ethiopia
Addu City,/m/02p36rq,,Maldives
Adel,/m/0rvj7,,United States
Adel,/m/0strt,,United States
Adel Bagrou,/m/05c4rzm,,Mauritania
Adelaide,/m/0mgp,,Australia
Adelanto,/m/0r4bl,,United States
Adelphi,/m/0chlkn,,United States
Adelsheim,/m/0crz0t,,Germany
Aden,/m/09h6g,,Yemen
Adenau,/m/0bntfk,,Germany
Adet,/m/02w6kdx,,Ethiopia
Adi Keyh,/m/06j0rk,,Eritrea
Adi Quala,/m/06j0nf,,Eritrea
Adiaké,/m/04kr15,,Ivory Coast
Adigrat,/m/06ry05,,Ethiopia
Adlersky City District,/m/02pk505,,Russia
Adliswil,/m/0dlbnc,,Switzerland
Admire,/m/0t87s,,United States
Ado Ekiti,/m/02v20m,,Nigeria
Adona,/m/0qw59,,United States
Adony,/m/0dj1zg,,Hungary
Adorf/Vogtl.,/m/07svmf,,Germany
Adrar,/m/07s19l,,Algeria
Adria,/m/0hxx0,,Italy
Adrian,/m/0zf2d,,United States
Adrian,/m/0rw71,,United States
Adrian,/m/0vbk1,,United States
Adrian,/m/0wsmd,,United States
Adrian,/m/0107c_,,United States
Adrian,/m/0w8n1,,United States
Adrogué,/m/0gxklc,,Argentina
Adré,/m/09j5_4,,Chad
Adulis,/m/04_y0z,,Eritrea
Adurim,/m/04ljc36,,Palestine
Advance,/m/0x0fj,,United States
Adzopé,/m/0df4x9,,Ivory Coast
Adıyaman,/m/07m2x4,,Turkey
Aeculanum,/m/0_qs,,Italy
Aedava,/m/0fqm322,,Bulgaria
Aegae,/m/0nbtdlf,,Greece
Aegae,/m/05b2dq8,,Greece
Aegospotami,/m/0_w3,,Turkey
Aek Kanopan,/m/0jky4_k,,Indonesia
Aelia Capitolina,/m/0_wg,,Israel
Aeminium,/m/06xn4f,,Ancient Rome
Aenea,/m/03g_rjc,,Greece
Aenus,/m/09wqr8,,Turkey
Aesch,/m/0g77ng,,Switzerland
Aetna,/m/02q1p3r,,Italy
Afak,/m/0b8c6v,,Iraq
Affoltern am Albis,/m/0gn_kj,,Switzerland
Aflao,/m/08nt88,,Ghana
Aflou,/m/0dcjzp,,Algeria
Afrin,/m/026cygp,,Syria
Afton,/m/01_xynm,,United States
Afton,/m/0t3q2,,United States
Afula,/m/01vtmy,,Israel
Afyonkarahisar,/m/0102c,,Turkey
Agadir,/m/01p19r,,Morocco
Agar,/m/0f7x3v,,India
Agarak,/m/0d2gx9,,Armenia
Agaro,/m/02vxvlk,,Ethiopia
Agartala,/m/0294zw,,India
Agathyrnum,/m/02q1q30,,Italy
Agats,/m/012nx_xg,,Indonesia
Agaunum,/m/050h1s,,Switzerland
Agawam,/m/0tzj0,,United States
Agboville,/m/05gnll,,Ivory Coast
Agdash,/m/03d1_4w,,Azerbaijan
Agency,/m/01_3t37,,United States
Agenda,/m/0t9_1,,United States
Ageo,/m/01whk1,,Japan
Aggar,/m/0121s1mj,,Tunisia
Aghdam,/m/03cfwzw,,Azerbaijan
Aghdara,/m/04gsjzz,,Azerbaijan
Aghjabadi,/m/04gg93j,,Azerbaijan
Aghstafa,/m/04gg934,,Azerbaijan
Aghsu,/m/04gvwd2,,Azerbaijan
Agia Paraskevi,/m/02fygk,,Greece
Agidel,/m/04x6n0,,Russia
Agnibilékrou,/m/02pqmb2,,Ivory Coast
Agnita,/m/02bq_n,,Romania
Agogo,/m/02rx395,,Ghana
Agora,/m/07w0n3,,Turkey
Agordat,/m/06j0lp,,Eritrea
Agoura Hills,/m/01z9l19,,United States
Agra,/m/01zxx9,,India
Agra,/m/0t9hv,,United States
Agrigento,/m/0c8lb,,Italy
Agrinio,/m/0433fm,,Greece
Agua Dulce,/m/011t7j,,United States
Agua Prieta,/m/01kkq8,,Mexico
Aguada de Pasajeros,/m/0c348_,,Cuba
Aguadilla,/m/0lhtd,,United States
Agualva-Cacém,/m/09_jln,,Portugal
Aguas Blancas,/m/0bwk68x,,Argentina
Aguas Calientes,/m/093843,,Peru
Aguas Verdes,/m/06cj2k,,Peru
Aguascalientes City,/m/018mcy,,Mexico
Aguilares,/m/0bjb9r,,Argentina
Aguntum,/m/0cx6vw,,Austria
Ahar,/m/026hsxp,,Iran
Ahaus,/m/0bfhz1,,Germany
Ahfir,/m/0b6l6z5,,Morocco
Ahgdere,/m/04gsjzz,,Azerbaijan
Ahilyanagar,/m/01p63q,,India
Ahlab,/m/0hy5c,,Lebanon
Ahlen,/m/07t77b,,Germany
Ahmedabad,/m/01d88c,,India
Ahmedpur East,/m/06s6z6,,Pakistan
Ahoskie,/m/0yh3b,,United States
Ahrensburg,/m/020kx_,,Germany
Ahuachapán,/m/05wfgk,,El Salvador
Ahvaz,/m/02v25m,,Iran
Ai,/m/031g8y,,Palestine
Aiadava,/m/09rx6f7,,Bulgaria
Aichach,/m/02l3mg,,Germany
Aichtal,/m/0f5hf0,,Germany
Aigai,/m/0dfq52,,Turkey
Aigio,/m/02p4vb,,Greece
Aigle,/m/02md8j,,Switzerland
Aigosthena,/m/09gj1z,,Greece
Aija,/m/03h4d2g,,Peru
Aiken,/m/0_k8p,,United States
Ailey,/m/0ry87,,United States
Ain Aouda,/m/0gys_px,,Morocco
Ainaži,/m/0c3tby,,Latvia
Ainsworth,/m/0x4lx,,United States
Ainsworth,/m/0t42t,,United States
Aipy,/m/0411pby,,Greece
Aiquile,/m/057yjtv,,Bolivia
Airdrie,/m/0gk0l,,United Kingdom
Airdrie,/m/041_cx,,Canada
Airway Heights,/m/021fxbp,,United States
Ait Attab,/m/0bbw8d_,,Morocco
Ait Melloul,/m/04ldzjb,,Morocco
Aitape,/m/0661p6,,Papua New Guinea
Aitkin,/m/0vs5r,,United States
Aix-en-Provence,/m/0knfs,,France
Aix-en-Pévèle,/m/03mgzkx,,France
Aizanoi,/m/0j7k9xp,,Turkey
Aizawl,/m/04z932,,India
Aizkraukle,/m/0b7m9b,,Latvia
Aizpute,/m/0b7nvz,,Latvia
Aizuwakamatsu,/m/0gp5tn,,Japan
Ajaccio,/m/0_yc,,France
Ajak,/m/026ql45,,Hungary
Ajdir,/m/0d6h36,,Morocco
Ajka,/m/05tbny,,Hungary
Ajloun,/m/0448_1,,Jordan
Ajman,/m/088ccd,,United Arab Emirates
Ajmer,/m/0_zp,,India
Akarassos,/m/012hcytf,,Turkey
Akarassos,/m/012hcytf,,Ancient Rome
Akashi,/m/01wnh3,,Japan
Akbarpur,/m/02791vc,,India
Akeley,/m/0w1qk,,United States
Aken (Elbe),/m/0381cd,,Germany
Akhalkalaki,/m/03ykpv,,Georgia
Akhaltsikhe,/m/03yklx,,Georgia
Akhiok,/m/0qfsm,,United States
Akhisar,/m/01k6pd,,Turkey
Akhmeta,/m/07yw2x,,Georgia
Akhmim,/m/04fdtn,,Egypt
Akhnoor,/m/0d_z63,,India
Akhsikath,/m/05mx42m,,Uzbekistan
Akiak,/m/0qcqp,,United States
Akim Oda,/m/084ghn,,Ghana
Akishima,/m/01wrjw,,Japan
Akita,/m/019649,,Japan
Akjoujt,/m/0b3j_6,,Mauritania
Akkad,/m/0n541jb,,Iraq
Akmenė,/m/039qtm,,Lithuania
